name1,name2,street1,street2,city,state,zip,zip4,phone,website,latitude,longitude,mh,psy,omh,cmhc,msnh,tt,sma,smi,ptsd,coot,imr,prs,sps,,,,,,,,,,,,,,,,,,,,,,,
Clifford W Beers Guidance Clinic Inc,,93 Edwards Street,,New Haven,CT,06511,,203-772-1270 x1237,http://www.cliffordbeers.org,41.317495,-72.912387,1,,1,,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Yale New Haven Hospital,Adolescent Intensive Outpatient Prog,646 George Street,,New Haven,CT,06511,,203-789-5150,http://www.ynhh.org,41.3092521,-72.9437936,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell Scott Hill Health Center,State Street Counseling Services,913 State Street,2nd Floor,New Haven,CT,06511,,203-503-3660,http://www.cornellscott.org,41.3146149,-72.9113834,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell Scott Hill Health Center,Child and Family Guidance Clinic,226 Dixwell Avenue,,New Haven,CT,06511,,203-503-3457,http://www.cornellscott.org/,41.3191579,-72.9343608,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Park Street Inn,Mental Health Residential Living Ctr,98-100 Park Street,,New Haven,CT,06511,,203-848-3061 x4222,http://www.theconnectioninc.org,41.3068504,-72.9353018,1,,,,,1,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Yale New Haven Psychiatric Hospital,Adult Intensive Outpatient,425 George Street,,New Haven,CT,06511,,203-688-3182,http://www.ynhh.org,41.307473,-72.935674,1,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Yale University Child Study Center,In Home Treatment Services,98 York Street,,New Haven,CT,06511,,203-785-6862,http://childstudycenter.yale.edu,41.306435,-72.933093,1,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Yale New Haven Hospital ,Childrens Day Hospital,1450 Chapel Street,,New Haven,CT,06511,,203-688-9907,http://www.ynhh.org,41.3102538,-72.9431532,1,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell Scott Hill Health Center,Northside Community Outpatient Servs,226 Dixwell Avenue,"2nd Floor, Suite 200",New Haven,CT,06511,,203-503-3470,http://cornellscott.org,41.319184,-72.9339307,1,,1,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Newtown Youth and Family Services Inc,,15 Berkshire Road,,Sandy Hook,CT,06482,,203-270-4335,http://www.newtownyouthandfamilyservies.org,41.413209,-73.27284,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Haven Community Services,Town of North Haven,5 Linsley Street,,North Haven,CT,06473,,203-239-5321 x500,http://www.town.north-haven.ct.us,41.386737,-72.862615,1,,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Bridges Healthcare Inc,,941-949 Bridgeport Avenue,,Milford,CT,06460,,203-878-6365,http://www.bridgesct.org,41.2145352,-73.0736741,1,,,,1,1,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Connecticut Valley Hospital,,1000 Silver Street,,Middletown,CT,06457,,860-262-5000,http://www.ct.gov/dmhas/,41.556483,-72.623252,1,1,,,,1,1,1,,,,1,,1,1,,1,1,,1,1,,1,1,,,1,1,1,1,1,,,,,
Middlesex Hospital,Center for Behaviorial Health/Adult OP,103 South Main Street,,Middletown,CT,06457,,860-358-8760,http://,41.5534083,-72.6492016,1,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilead Community Services Inc,Middletown Outpatient Clinic,230 Main Street Extension,,Middletown,CT,06457,,860-343-5303,http://www.gileadcs.org,41.550754,-72.642809,1,,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Albert J Solnit Childrens Center,,915 River Road,,Middletown,CT,06457,,860-704-4000,http://,41.558175,-72.614873,1,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Middlesex Hospital,Mental Health Clinic,33 Pleasant Street,,Middletown,CT,06457,3641,860-358-8801,https://middlesexhospital.org/our-services/hospital-services/behavioral-health,41.5563248,-72.6475471,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Rushford,,1250 Silver Street,,Middletown,CT,06457,,877-577-3233,http://recoveryneverstops.org,41.558069,-72.621849,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Naugatuck Valley ,Parent and Child Resource Center,30 Elizabeth Street,,Derby,CT,06418,,203-954-0543,http://www.lnvpcrc.org,41.320134,-73.0895088,1,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffin Hospital,Behavioral Health,130 Division Street,,Derby,CT,06418,,203-732-7580,http://www.griffinhealth.org,41.335133,-73.089191,1,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Comm and Family Services Inc,Psychiatric Outpt Clinic for Adults,212 Upton Road,Suite C,Colchester,CT,06415,,860-537-7676,http://,41.578684,-72.348401,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harbor House,,79 Cedar Street,,Branford,CT,06405,,203-483-2662,http://www.bhcare.org/,41.283419,-72.816115,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Yale New Haven Hospital,Branford Adolescent IOP/Outpt Servs,21 Business Park Drive,,Branford,CT,06405,,203-488-0471,http://www.ynhh.org/locations/branford-21-business-park-drive.aspx,41.2956448,-72.770237,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branford Counseling Center,,342 Harbor Street,,Branford,CT,06405,,203-481-4248,http://www.branford-ct.gov/counseling,41.272898,-72.82,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Cornell Scott Hill Health Corporation,Ansonia Counseling Services,121 Wakelee Avenue,,Ansonia,CT,06401,,203-503-3650,http://www.hillhealthcenter.com/,41.340481,-73.090359,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catholic Charities Inc,Family Service Center,205 Wakelee Avenue,,Ansonia,CT,06401,,203-735-7481,http://www.ccaoh.org,41.346094,-73.090845,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHcare Inc,,435 East Main Street,,Ansonia,CT,06401,,203-736-2601,http://www.bhcare.org,41.342468,-73.077591,1,,1,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Waterford Country School Inc,,78 Hunts Brook Road,,Quaker Hill,CT,06375,,860-442-9454,http://www.waterfordcountryschool.org,41.41481,-72.154563,1,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Sound Community Services Inc,,113 Salem Turnpike,,Norwich,CT,06360,,860-439-6400,http://,41.511801,-72.111962,1,,1,,,1,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Waterford Country School,Outpatient Clinic for Children,2 Clinic Drive,,Norwich,CT,06360,,860-886-7500 x310,http://www.waterfordcountryschool.org,41.5398695,-72.0872193,1,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
United Community and Family Servs Inc,,47 Town Street,,Norwich,CT,06360,,860-892-7042,http://UCFS.org,41.5477532,-72.0915322,1,,,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Joshua Center Thames Valley Prog of,Natchaug Hospital,11 Stott Avenue,Suite A ,Norwich,CT,06360,,860-823-5320,http://,41.5770118,-72.1066076,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
William W Backus Hospital,Behavioral Health,326 Washington Street,,Norwich,CT,06360,2740,860-823-6321,http://www.backushospital.org,41.543008,-72.087985,1,1,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Catholic Charities Diocese of Norwich,Behavioral Health Clinic,331 Main Street,,Norwich,CT,06360,,860-889-8346,http://www.ccfsn.org,41.5239976,-72.0717914,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeastern Mental Health Authority,Uncas on Thames Campus,401 West Thames Street,Building 301,Norwich,CT,06360,,860-859-4500,http://www.ct.gov/DMHAS,41.505865,-72.09529,1,,,,1,1,1,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
United Community and Family Servs Inc,,120-122 Plainfield Road,,Moosup,CT,06354,,860-892-7042,http://UCFS.org,41.710262,-71.894648,1,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Care Plus,,1353 Gold Star Highway,,Groton,CT,06340,2739,860-449-9947 x304,http://www.natchaug.org,41.382618,-72.024105,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catholic Charities Inc,Diocese of Norwich Inc,28 Huntington Street,,New London,CT,06320,,860-443-5328,http://www.ccfsn.org,41.3535964,-72.0996256,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence and Memorial Hospital,Department of Psychiatry,365 Montauk Avenue,,New London,CT,06320,4700,860-442-0711,http://www.lmhospital.org,41.337216,-72.103803,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Child and Family Agency,Southeastern Connecticut Inc,75 Granite Street,,New London,CT,06320,,860-437-4550,http://childandfamilyagency.org,41.3597782,-72.1040869,1,,1,,,1,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,
Susan Wayne Center of Excellence,,75 Church Street,,Thompson,CT,06277,,860-928-5900,http://www.jri.org/ct,41.938084,-71.900084,1,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Natchaug Hospital Inc,Joshua Center,189 Storrs Road,,Mansfield Center,CT,06250,,860-456-1311,http://www.natchaug.org,41.741145,-72.1980516,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinebaug Day Treatment Program,,11 Dog Hill Road,,Dayville,CT,06241,,860-779-0321 x234,http://,41.832473,-71.876014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Services Inc,,1007 North Main Street,,Dayville,CT,06241,,860-774-2020 x4655,http://unitedservicesct.org,41.834745,-71.879599,1,,,,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Community Health Resources,Danielson Clinic,77 Westcott Road,,Danielson,CT,06239,,877-884-3571,http://www.chrhealth.org,41.8093599,-71.8753467,1,,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Center Northeast,,934 North Main Street,,Danielson,CT,06239,,860-779-2101,http://www.natchaug.org,41.828705,-71.876902,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Health Resources,Willimantic,433 Valley Street,,Willimantic,CT,06226,,877-884-3571,http://www.chrhealth.org,41.716017,-72.2245514,1,,,1,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Generations Family Health Center Inc,,40 Mansfield Avenue,,Willimantic,CT,06226,,860-450-0585,http://www.genhealth.org,41.714797,-72.224597,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Outpatient Services,Perception Programs,54 North Street,,Willimantic,CT,06226,,860-450-0151 x2111,http://www.perceptionprograms.org,41.7132803,-72.21262,1,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
United Services Inc,,132 Mansfield Avenue,,Willimantic,CT,06226,,860-456-2261,http://www.unitedservicesct.org,41.717444,-72.223811,1,,,,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Hartford Behavioral Health,Cole Treatment Center,2550 Main Street,,Hartford,CT,06120,1936,860-548-0101,http://,41.788919,-72.672022,1,,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Renewal Team Inc,Behavioral Health Services,330 Market Street,,Hartford,CT,06120,,860-761-7900,http://www.crtct.org,41.7723938,-72.6706168,1,,1,,,1,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
Community Health Services Inc,Behavioral Health Department,500 Albany Avenue,,Hartford,CT,06120,,860-249-9625,http://www.chshartford.org/,41.777767,-72.685119,1,,1,,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
InterCommunity Inc,Healthcare for the Whole Person,281 Main Street,,East Hartford,CT,06118,1823,860-569-5900,http://intercommunityct.org,41.742462,-72.6331211,1,,,,1,1,,1,1,1,1,1,1,,,,1,,,,,,,1,,,1,1,,,,,,,,
Saint Francis Behavioral Health Group,,Mount Siani Campus,675 Tower Avenue,Hartford,CT,06112,,860-714-4000,http://www.stfranciscare.org/,41.7895977,-72.6919814,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA Connecticut Healthcare System,Newington Campus (116A),555 Willard Avenue,,Newington,CT,06111,,860-667-6747,http://,41.7022288,-72.7411714,1,,,,,1,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
CREC,OPMHCCF,474 School Street,,East Hartford,CT,06108,,860-289-8131 x3408,http://,41.7942889,-72.6173816,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
American School for the Deaf,,139 North Main Street,,West Hartford,CT,06107,,860-570-2298,http://asd-1817.org,41.771452,-72.744063,1,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Catholic Charities Inc,Institute for the Hispanic Family,45 Wadsworth Street,,Hartford,CT,06106,7108,860-527-1124,http://www.ccaoh.org,41.758814,-72.679492,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartford Behavioral Health,Affirmation Center,1 Main Street,,Hartford,CT,06106,,860-727-8703,http://www.hbh1.org,41.755432,-72.67638,1,,1,,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Institute for Living,Hartford Hospital,200 Retreat Avenue,,Hartford,CT,06106,,860-545-7522,http://www.Harthosp.org/InstituteofLiving,41.7519925,-72.6810735,1,1,,,,1,,1,1,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,
Asian Family Services,Psychiatric Outpt Clinic for Adults,1921 Park Street,,Hartford,CT,06106,,860-951-8770,http://www.CRT.org,41.756394,-72.710898,1,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,
Charter Oak Health Center Inc,Behavioral Health Services,21 Grand Street,,Hartford,CT,06106,,860-550-7559 x6354,http://www.thecharteroak.org,41.75939,-72.685263,1,,1,,,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Klingberg Comp Family Services Inc,Outpatient Clinic,157 Charter Oak Avenue,,Hartford,CT,06106,,860-243-4416,http://www.klingberg.com,41.7577711,-72.6656882,1,,1,,,1,,,1,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,
Catholic Charities Inc,Family Service Center,896 Asylum Avenue,,Hartford,CT,06105,,860-522-8241,http://www.ccaoh.org,41.770668,-72.694314,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My People Clinical Services LLC,,111 Gillett Street,,Hartford,CT,06105,,860-656-0450,http://www.mypeople-ct.com,41.77161,-72.698919,1,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheeler Clinic Inc,Psychiatric Outpt Clinic for Adults,999 Asylum Avenue,Floor 1,Hartford,CT,06105,,860-523-9788,http://www.wheelerclinic.org,41.771185,-72.698071,1,,1,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Villages for Families and Children Inc,,1680 Albany Avenue,,Hartford,CT,06105,,860-236-4511,http://,41.785285,-72.709037,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Center,Enfield,72 Shaker Road,,Enfield,CT,06082,,860-749-2243,http://www.natchaug.org,42.005102,-72.557482,1,,,,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Community Health Resources,Partial Hospitalization Program,153 Hazard Avenue,,Enfield,CT,06082,,877-884-3571,http://www.chrhealth.org,41.9882233,-72.5570557,1,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Community Health Resources,Enfield Office,153 Hazard Avenue,,Enfield,CT,06082,,877-884-3571,http://www.chrhealth.org,41.9882233,-72.5570557,1,,,1,,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Johnson Memorial Hospital,Mental Health Services,201 Chestnut Hill Road,,Stafford Springs,CT,06076,,860-684-8290,http://jmmc.com,41.977685,-72.391245,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Walden Behavioral Care,,2400 Tamarack Road,Suite 203,South Windsor,CT,06074,,860-533-4672,http://www.waldenbehavioralcare.com,41.815798,-72.555643,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
RiverEast Day Hospital and,Treatment Center,428 Hartford Turnpike,Suite 105,Vernon Rockville,CT,06066,,860-870-0119,http://www.natchaug.org,41.828763,-72.482507,1,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Hockanum Valley Community Council Inc,,27 Naek Road,Suite 4,Vernon Rockville,CT,06066,,860-872-9825,http://www.hvcchelps.org,41.839493,-72.491502,1,,1,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheeler Clinic Inc,,91 Northwest Drive,,Plainville,CT,06062,,860-793-3500,http://www.wheelerclinic.org,41.691763,-72.878435,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheeler Clinic Inc,Psychiatric Outpt Clinic for Adults,75 North Mountain Road,,New Britain,CT,06053,,860-224-6300,http://www.wheelerclinic.org,41.669991,-72.819545,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
Hospital of Central Connecticut,Psychiatric Services,100 Grand Street,,New Britain,CT,06052,2016,860-224-5011,http://www.thocc.org,41.661065,-72.786708,1,1,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Hospital of Central Connecticut,Hispanic Counseling Center,73 Cedar Street,,New Britain,CT,06052,,860-224-5300,http://,41.668649,-72.787028,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
Klingberg Family Centers,Outpatient Clinic,370 Linwood Street,,New Britain,CT,06052,,860-826-2269,http://www.klingberg.org,41.6514148,-72.7886334,1,,1,,,1,,,1,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,
Community Mental Health Affiliates Inc,Outpatient Treatment Services,33 Highland Street,,New Britain,CT,06052,,860-224-8192,http://cmhacc.org,41.6613474,-72.7888045,1,,,,1,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Wheeler Clinic Inc,,36 Russell Street,,New Britain,CT,06052,,860-223-8885,http://www.wheelerclinic.org,41.6669746,-72.7903045,1,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Community Mental Health Affiliates Inc,Residential Services,33 Highland Street,,New Britain,CT,06052,2022,860-223-1922 x1957,http://,41.6613474,-72.7888045,1,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Community Mental Health Affiliates Inc,Adult Services/Harvest House,5 Hart Street,,New Britain,CT,06052,,860-229-4850,http://,41.660253,-72.783502,1,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Community Mental Health Affiliates Inc,,125 Whiting Street,,New Britain,CT,06051,,860-826-1358 x1649,http://,41.6609574,-72.7785409,1,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Community Mental Health Affiliates Inc,Transitional Youth Program,111 Clinic Drive,,New Britain,CT,06051,,860-224-8880 x3310,http://www.cmhacc.org/program-services/adult-services/residential,41.648556,-72.783676,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Connecticut Health Network,Adult Behavioral Health Services,150 North Main Street,Suite 130,Manchester,CT,06042,,860-533-3434 x3856,http://echn.org,41.7945892,-72.5245415,1,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Community Health Resources,Manchester Office,444 Center Street,,Manchester,CT,06040,,877-884-3571,http://www.chrhealth.org,41.772536,-72.539179,1,,,1,,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Manchester Memorial Hospital,Behavioral Health,71 Haynes Street,,Manchester,CT,06040,4131,860-646-1222,http://www.echn.org,41.781851,-72.525909,1,1,,,,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
John Dempsey Hospital,Psychiatry Outpatient Services,10 Talcott Notch Road,,Farmington,CT,06032,,860-679-6700,http://health.uconn.edu,41.73913,-72.792098,1,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Bristol Hospital,Behavioral Health,41 Brewster Road,,Bristol,CT,06010,,860-585-3420,http://bristolhospital.org,41.675727,-72.936043,1,1,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Vinfen Corporation of CT,,860 Prospect Hill Road,,Windsor,CT,06006,,860-688-3165,http://www.vinfenct.org,41.8807506,-72.7099168,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Community Health Resources,Bloomfield Office,693 Bloomfield Avenue,,Bloomfield,CT,06002,,877-884-3571,http://www.chrhealth.org,41.8272523,-72.7378779,1,,,1,,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Stamford Hospital,,1 Hospital Plaza,,Stamford,CT,06904,,203-276-1000,http://,41.0560138,-73.5539415,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jewish Family Service of Stamford,,733 Summer Street,Suite 602,Stamford,CT,06901,,203-921-4161,http://www.ctjfs.org,41.0583961,-73.5396601,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renfrew Center of Southern Connecticut,,1445 Putnam Avenue,,Old Greenwich,CT,06870,,203-834-5020,http://renfrewcenter.com,41.0464299,-73.5708805,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Health Center Inc,Day Street Community Health Center,49 Day Street,,Norwalk,CT,06854,,203-854-9292,http://www.chc1.com,41.094039,-73.417098,1,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child Guidance Center of ,Southern Connecticut Inc,23 Benedict Place,,Greenwich,CT,06830,,203-324-6127,http://www.childguidancect.org,41.028093,-73.627581,1,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Fairfield Counseling Services Inc,Psychiatric OP Clinic for Adults,125 Penfield Road,,Fairfield,CT,06824,,203-255-5777,http://www.fcsinc.org/,41.1399196,-73.2497701,1,,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,1,,1,,,,,,
Jewish Family Service Inc,,325 Reef Road,Suite 210,Fairfield,CT,06824,,203-366-5438,http://www.jfsct.org,41.137106,-73.254593,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterbury Outpatient Services for CMHA,,36 Sheffield Street,,Waterbury,CT,06704,,203-596-9724,http://cmhacc.org,41.590328,-73.051022,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Resource Associates LLC,,3300 Main Street,,Stratford,CT,06614,,203-378-4514,http://familyresourceassociates.com,41.2054186,-73.1315915,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Psychiatric Clinic,Cornell Scott Hill Health Center,400 Columbus Avenue,,New Haven,CT,06519,,203-503-3075,http://,41.297375,-72.939617,1,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut Mental Health Center,,34 Park Street,,New Haven,CT,06519,,203-974-7300,http://www.ct.gov/dmhas,41.305199,-72.936816,1,1,,,,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Yale New Haven Psychiatric Hospital,,184 Liberty Street,,New Haven,CT,06519,,203-688-9704,http://www.ynhh.org/yale-new-haven-psychiatric-hospital/default.aspx,41.3013845,-72.9327872,1,1,,,,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Catholic Charities Inc,Family Service Center,501 Lombard Street,,New Haven,CT,06513,,203-787-2207,http://www.ccaoh.org,41.314599,-72.900724,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Connection Inc,Cornerstone,282 Dwight Street,,New Haven,CT,06511,,203-777-3216,http://,41.3131429,-72.934819,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yale Child Study Center,OPCC,40 Temple Street,Suite 7-C,New Haven,CT,06510,,203-785-2513,http://,41.30395,-72.928946,1,,1,,,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Yale New Haven Hospital,Winchester One,20 York Street,,New Haven,CT,06504,,203-688-9907,http://www.ynhh.org,41.2776067,-72.9545855,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catholic Charities Inc,Family Service Center,203 High Street,,Milford,CT,06460,,203-874-6270,http://www.ccaoh.org,41.224534,-73.061554,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Rushford Center Inc,,883 Paddock Avenue,,Meriden,CT,06450,,203-630-5280,http://www.rushford.org,41.505081,-72.776951,1,,1,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Essex Child Guidance Center,,190 Westbrook Road,,Essex,CT,06426,,860-767-0147,http://www.childandfamilyagency.org,41.335916,-72.418943,1,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
BHcare Inc,Shoreline,14 Sycamore Way,,Branford,CT,06405,,203-483-2630,http://,41.301032,-72.750903,1,,,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
United Comm and Family Services Inc,Psychiatric Outpt Clinic for Adults,70 Main Street,,Jewett City,CT,06351,,860-822-4900,http://UCFS.ORG,41.606414,-71.981841,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Community and Family Services,,351 North Frontage Road,Suite B-4,New London,CT,06320,2628,860-442-4319,http://UCFS.org,41.3721311,-72.1184858,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day Kimball Healthcare,,320 Pomfret Street,Community Services Building,Putnam,CT,06260,,860-928-6541,http://www.daykimball.org,41.909204,-71.914523,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Natchaug Hospital Inc,Psychiatric Hospital,189 Storrs Road,,Mansfield Center,CT,06250,,860-456-1311,http://,41.741145,-72.1980516,1,1,,,,1,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Community Health Resources,Mansfield Office,7 Ledgebrook Drive,Suite B,Mansfield Center,CT,06250,,877-884-3571,http://www.chrhealth.org,41.7333434,-72.2036167,1,,1,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Sachem House,,151 Storrs Road,,Mansfield Center,CT,06250,,860-465-5960,http://www.natchaug.org,41.7385242,-72.1980267,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Capitol Region Mental Health Center,,500 Vine Street,,Hartford,CT,06112,,860-297-0999,http://www.ct.gov/dmhas/CRMHC,41.7963932,-72.6875312,1,,,1,,1,1,1,1,,1,1,,,,1,1,1,,,,,1,,,1,1,,,,,,,,,
Bridge Family Center/Outpatient,Psychiatric Clinic for Children/OPCC,1022 Farmington Avenue,,West Hartford,CT,06107,,860-313-1119 x101,http://www.bridgefamilycenter.org,41.760278,-72.747658,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
